Matriculation Number,Name,First Name,Study Program,Serie,Date of Birth
2023NK529H,Zignama,Abdou,Management,D,25-08-1997
2023QO297T,Abou,KAZAD,Philosophie,C,12-02-1999
2023OW158E,Haddine,ALI,Biologie,A2,03-08-2006
2023CL287T,Kayoum,Abdou,CMGP,D,25-02-1998
2023FP386P,Abdou,KAZAD,Philosophie,D,12-02-1999
2023PS721Q,Hissane,ALI,Anglais,A2,25-08-2006
2023WM258Q,Daoulati,Soumaila,AES,A4,26-12-1998
2023OX731D,Abdou,KAZAD,Philosophie,D,12-02-1999
2023YN548H,Hissane,ALI,Anglais,A2,25-08-2006
2023TH189E,Kayoum,Abdou,CMGP,D,25-02-1998
2023XP017E,Abdou,KAZAD,Philosophie,D,12-02-1999
2023CS571O,Hissane,ALI,Anglais,A2,25-08-2006
2023ZJ712Q,Kayoum,Abdou,CMGP,D,25-02-1998
2023MO450I,Abdou,KAZAD,Philosophie,D,12-02-1999
2023MJ472M,Hissane,ALI,Anglais,A2,25-08-2006
2023MH839Z,Kayoum,Abdou,CMGP,D,25-02-1998
2023IV716U,Abdou,KAZAD,Philosophie,D,12-02-1999
2023TC231D,Hissane,ALI,Anglais,A2,25-08-2006
2023WH436S,Kayoum,Abdou,CMGP,D,25-02-1998
2023VU205F,Abdou,KAZAD,Philosophie,D,12-02-1999
2023CZ812Q,Hissane,ALI,Anglais,A2,25-08-2006
2023EP495F,Kayoum,Abdou,CMGP,D,25-02-1998
2023WB248X,Abdou,KAZAD,Philosophie,D,12-02-1999
2023PA892X,Hissane,ALI,Anglais,A2,25-08-2006
2023IG315O,Kayoum,Abdou,CMGP,D,25-02-1998
2023WY907X,Abdou,KAZAD,Philosophie,D,12-02-1999
2023QK760F,Hissane,ALI,Anglais,A2,25-08-2006
2023UG216E,Kayoum,Abdou,CMGP,D,25-02-1998
2023OY209C,Abdou,KAZAD,Philosophie,D,12-02-1999
2023GM847I,Hissane,ALI,Anglais,A2,25-08-2006
2023XI270D,Kayoum,Abdou,CMGP,D,25-02-1998
2023QW139W,Kayoum,Abdou,CMGP,D,25-02-1998
2023JX630U,Kaniza,LOHAMED,AES,A1,02-03-1996
2023LP503U,Kaniza,LOHAMED,AES,A1,02-03-1996
2023GX012U,Kaniza,LOHAMED,AES,A1,02-03-1996
2023OF269S,Kaniza,LOHAMED,AES,A1,02-03-1996
2023XO109R,Kaniza,LOHAMED,AES,A1,02-03-1996
2023QO739K,Kaniza,LOHAMED,AES,A1,02-03-1996
2023SX210R,Kaniza,LOHAMED,AES,A1,02-03-1996
2023WQ753P,Kaniza,LOHAMED,AES,A1,02-03-1996
2023LT768O,Kaniza,LOHAMED,AES,A1,02-03-1996
2023SE481I,Kaniza,LOHAMED,AES,A1,02-03-1996
2023IX276P,Kaniza,LOHAMED,AES,A1,02-03-1996
2023CD943J,Kaniza,LOHAMED,AES,A1,02-03-1996
2023EW910S,Said,KAZAD,Biologie,C,12-02-1999
2023SK406L,Kaniza,LOHAMED,AES,A1,02-03-1996
2023BV469L,Said,KAZAD,Biologie,C,12-02-1999
2023CK826L,Kaniza,LOHAMED,AES,A1,02-03-1996
2023JC438X,Said,KAZAD,Biologie,C,12-02-1999
2023KL304P,Kaniza,LOHAMED,AES,A1,02-03-1996
2023EN485W,Said,KAZAD,Biologie,C,12-02-1999
2023UN471H,Kaniza,LOHAMED,AES,A1,02-03-1996
2023BW309I,Said,KAZAD,Biologie,C,12-02-1999
2023WH196Q,Kaniza,LOHAMED,AES,A1,02-03-1996
2023NG278U,Said,KAZAD,Biologie,C,12-02-1999
2023AD741Y,Kaniza,LOHAMED,AES,A1,02-03-1996
2023TZ804F,Said,KAZAD,Biologie,C,12-02-1999
2023VY216E,Kaniza,LOHAMED,AES,A1,02-03-1996
